Accident_ID,Accident_Date,Accident_Hour,Report_Timestamp,District,Road_Type,Weather_Condition,Surface_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Gender,Alcohol_Involved,Vehicle_Speed_kmph,Helmet_Used,Seatbelt_Used,Cause_Category,Accident_Severity,Casualties_Count,Injury_Type,Emergency_Response_Time_Min,Accident_Year,Accident_Month,Day_Of_Week,Is_Weekend,Time_Block,Age_Group,High_Speed,Delayed_Response,Night_Driving,Multiple_Casualties
Ker_Acc_100031,2023-09-13,21,2023-09-13 22:41:00,Kozhikode,Urban Road,Rain,Wet,Night,High,Motorcycle,65,Male,No,66,Yes,Not Applicable,Overspeeding,Serious,2,Major Injury,39.0,2023,September,Wednesday,False,Evening,Senior,No,Yes,Yes,Yes
Ker_Acc_100032,2025-04-10,5,2025-04-10 07:46:00,Kannur,Urban Road,Clear,Dry,Night,Low,Motorcycle,69,Male,No,26,Yes,Not Applicable,Mechanical Failure,Minor,1,Minor Injury,12.0,2025,April,Thursday,False,Late Night,Senior,No,No,Yes,No
Ker_Acc_100033,2023-02-09,15,2023-02-09 16:10:00,Ernakulam,Rural Road,Clear,Dry,Day,Medium,Truck,70,Male,No,72,Not Applicable,Yes,Drunk Driving,Minor,0,No Injury,12.0,2023,February,Thursday,False,Afternoon,Senior,No,No,No,No
Ker_Acc_100034,2023-12-03,8,2023-12-03 09:17:00,Ernakulam,Urban Road,Clear,Dry,Day,Medium,Car,50,Male,No,99,Not Applicable,Yes,Drunk Driving,Minor,0,No Injury,22.0,2023,December,Sunday,True,Morning,Middle Age,Yes,Yes,No,No
Ker_Acc_100035,2023-09-25,5,2023-09-25 06:49:00,Kollam,Highway,Fog,Dry,Night,Medium,Auto Rickshaw,64,Male,No,79,Not Applicable,Not Applicable,Overspeeding,Minor,2,No Injury,18.0,2023,September,Monday,False,Late Night,Senior,No,No,Yes,Yes
Ker_Acc_100037,2023-12-05,19,2023-12-05 22:14:00,Kozhikode,Bridge,Clear,Dry,Night,Low,Motorcycle,37,Female,No,53,Not Applicable,Not Applicable,Distracted Driving,Minor,1,Minor Injury,15.0,2023,December,Tuesday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100038,2023-05-11,6,2023-05-11 09:21:00,Palakkad,Urban Road,Rain,Wet,Day,Medium,Auto Rickshaw,54,Male,No,71,Not Applicable,Not Applicable,Weather Conditions,Minor,1,Minor Injury,22.0,2023,May,Thursday,False,Morning,Middle Age,No,Yes,No,No
Ker_Acc_100039,2023-10-21,6,2023-10-21 09:00:00,Kottayam,Urban Road,Rain,Wet,Day,High,Car,46,Male,No,66,Not Applicable,Yes,Mechanical Failure,Minor,1,Minor Injury,21.0,2023,October,Saturday,True,Morning,Middle Age,No,Yes,No,No
Ker_Acc_100040,2023-03-28,9,2023-03-28 12:26:00,Kozhikode,Highway,Rain,Wet,Day,Medium,Car,61,Male,No,72,Not Applicable,Yes,Distracted Driving,Serious,3,Minor Injury,35.0,2023,March,Tuesday,False,Morning,Senior,No,Yes,No,Yes
Ker_Acc_100041,2023-09-08,15,2023-09-08 16:02:00,Thiruvananthapuram,Urban Road,Clear,Dry,Day,Medium,Auto Rickshaw,30,Female,No,55,Not Applicable,Not Applicable,Weather Conditions,Minor,0,No Injury,17.0,2023,September,Friday,False,Afternoon,Adult,No,No,No,No
Ker_Acc_100042,2023-09-07,4,2023-09-07 04:47:00,Ernakulam,Urban Road,Clear,Wet,Night,Low,Truck,32,Female,No,86,Not Applicable,Yes,Drunk Driving,Minor,1,Major Injury,40.0,2023,September,Thursday,False,Late Night,Adult,Yes,Yes,Yes,No
Ker_Acc_100043,2024-07-24,7,2024-07-24 08:34:00,Thiruvananthapuram,Urban Road,Rain,Wet,Day,Low,Car,53,Female,No,88,Not Applicable,Yes,Weather Conditions,Serious,3,Minor Injury,40.0,2024,July,Wednesday,False,Morning,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100044,2025-04-14,23,2025-04-15 02:11:00,Malappuram,Highway,Rain,Wet,Night,Low,Motorcycle,28,Male,No,113,Yes,Not Applicable,Drunk Driving,Fatal,3,Major Injury,19.0,2025,April,Monday,False,Evening,Adult,Yes,No,Yes,Yes
Ker_Acc_100045,2024-10-14,8,2024-10-14 11:07:00,Kasaragod,Urban Road,Rain,Wet,Day,High,Motorcycle,22,Female,No,38,Yes,Not Applicable,Mechanical Failure,Serious,1,Minor Injury,17.0,2024,October,Monday,False,Morning,Young,No,No,No,No
Ker_Acc_100046,2023-03-24,4,2023-03-24 05:13:00,Palakkad,Bridge,Clear,Wet,Night,High,Motorcycle,44,Male,No,25,Yes,Not Applicable,Mechanical Failure,Minor,0,Minor Injury,22.0,2023,March,Friday,False,Late Night,Middle Age,No,Yes,Yes,No
Ker_Acc_100048,2025-05-05,13,2025-05-05 15:58:00,Kasaragod,Rural Road,Clear,Dry,Day,Medium,Truck,32,Female,No,96,Not Applicable,No,Weather Conditions,Minor,1,Minor Injury,20.0,2025,May,Monday,False,Afternoon,Adult,Yes,No,No,No
Ker_Acc_100049,2024-11-26,12,2024-11-26 13:33:00,Kozhikode,Highway,Clear,Wet,Day,Medium,Truck,52,Male,Yes,97,Not Applicable,Yes,Distracted Driving,Serious,2,Major Injury,22.0,2024,November,Tuesday,False,Afternoon,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100050,2024-10-20,13,2024-10-20 15:11:00,Kollam,Junction,Clear,Dry,Day,High,Motorcycle,31,Female,No,23,Yes,Not Applicable,Overspeeding,Minor,2,Minor Injury,15.0,2024,October,Sunday,True,Afternoon,Adult,No,No,No,Yes
Ker_Acc_100051,2025-02-09,13,2025-02-09 13:41:00,Kottayam,Junction,Clear,Wet,Day,Low,Motorcycle,40,Male,No,43,Yes,Not Applicable,Distracted Driving,Minor,2,Minor Injury,7.0,2025,February,Sunday,True,Afternoon,Adult,No,No,No,Yes
Ker_Acc_100052,2023-02-01,7,2023-02-01 07:22:00,Kannur,Highway,Clear,Dry,Day,Low,Truck,60,Female,Yes,93,Not Applicable,Yes,Weather Conditions,Serious,2,Major Injury,40.0,2023,February,Wednesday,False,Morning,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100053,2024-01-13,5,2024-01-13 08:18:00,Kannur,Highway,Rain,Wet,Night,High,Car,37,Female,Yes,116,Not Applicable,Yes,Drunk Driving,Serious,3,Major Injury,19.0,2024,January,Saturday,True,Late Night,Adult,Yes,No,Yes,Yes
Ker_Acc_100054,2025-01-02,6,2025-01-02 08:40:00,Ernakulam,Urban Road,Clear,Dry,Day,High,Motorcycle,62,Male,No,89,Yes,Not Applicable,Mechanical Failure,Serious,3,Major Injury,37.0,2025,January,Thursday,False,Morning,Senior,Yes,Yes,No,Yes
Ker_Acc_100055,2024-08-02,1,2024-08-02 03:43:00,Kannur,Highway,Clear,Wet,Night,Low,Car,59,Female,No,88,Not Applicable,Yes,Overspeeding,Serious,2,Major Injury,37.0,2024,August,Friday,False,Late Night,Middle Age,Yes,Yes,Yes,Yes
Ker_Acc_100056,2024-03-19,11,2024-03-19 13:42:00,Kollam,Rural Road,Clear,Dry,Day,High,Motorcycle,59,Female,No,59,Yes,Not Applicable,Drunk Driving,Minor,0,Minor Injury,22.0,2024,March,Tuesday,False,Morning,Middle Age,No,Yes,No,No
Ker_Acc_100057,2025-04-25,23,2025-04-26 00:50:00,Ernakulam,Highway,Rain,Wet,Night,Low,Auto Rickshaw,46,Female,No,79,Not Applicable,Not Applicable,Overspeeding,Serious,2,Minor Injury,24.0,2025,April,Friday,False,Evening,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100058,2023-01-30,15,2023-01-30 17:22:00,Idukki,Urban Road,Storm,Dry,Day,Low,Motorcycle,39,Female,No,63,Yes,Not Applicable,Weather Conditions,Minor,0,Minor Injury,24.0,2023,January,Monday,False,Afternoon,Adult,No,Yes,No,No
Ker_Acc_100059,2023-01-11,16,2023-01-11 16:38:00,Palakkad,Urban Road,Clear,Dry,Day,Low,Motorcycle,66,Female,No,70,Yes,Not Applicable,Overspeeding,Minor,1,Minor Injury,20.0,2023,January,Wednesday,False,Afternoon,Senior,No,No,No,No
Ker_Acc_100060,2025-03-22,0,2025-03-22 01:25:00,Thrissur,Highway,Clear,Dry,Night,Medium,Car,60,Female,No,79,Not Applicable,Yes,Distracted Driving,Minor,0,Minor Injury,20.0,2025,March,Saturday,True,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100061,2025-02-02,17,2025-02-02 18:56:00,Ernakulam,Junction,Fog,Dry,Day,Medium,Motorcycle,32,Male,No,23,Yes,Not Applicable,Distracted Driving,Minor,1,Minor Injury,11.0,2025,February,Sunday,True,Afternoon,Adult,No,No,No,No
Ker_Acc_100062,2023-08-10,23,2023-08-11 00:45:00,Alappuzha,Urban Road,Rain,Wet,Night,Medium,Motorcycle,36,Male,No,71,No,Not Applicable,Distracted Driving,Serious,2,Major Injury,36.0,2023,August,Thursday,False,Evening,Adult,No,Yes,Yes,Yes
Ker_Acc_100063,2023-07-03,9,2023-07-03 11:21:00,Idukki,Highway,Clear,Dry,Day,Medium,Car,36,Female,No,86,Not Applicable,Yes,Weather Conditions,Minor,1,Minor Injury,9.0,2023,July,Monday,False,Morning,Adult,Yes,No,No,No
Ker_Acc_100064,2023-01-13,18,2023-01-13 20:23:00,Kollam,Urban Road,Clear,Dry,Day,High,Truck,34,Male,No,67,Not Applicable,No,Weather Conditions,Minor,0,Minor Injury,20.0,2023,January,Friday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100065,2024-05-18,2,2024-05-18 05:22:00,Ernakulam,Urban Road,Rain,Wet,Night,High,Motorcycle,37,Female,Yes,47,No,Not Applicable,Distracted Driving,Serious,3,Major Injury,17.0,2024,May,Saturday,True,Late Night,Adult,No,No,Yes,Yes
Ker_Acc_100067,2025-01-27,3,2025-01-27 04:46:00,Malappuram,Urban Road,Clear,Dry,Night,Medium,Truck,33,Female,No,51,Not Applicable,Yes,Drunk Driving,Minor,2,Minor Injury,7.0,2025,January,Monday,False,Late Night,Adult,No,No,Yes,Yes
Ker_Acc_100068,2024-12-06,19,2024-12-06 20:49:00,Thrissur,Bridge,Clear,Wet,Night,Medium,Truck,22,Male,No,64,Not Applicable,Yes,Drunk Driving,Minor,1,Minor Injury,13.0,2024,December,Friday,False,Evening,Young,No,No,Yes,No
Ker_Acc_100069,2023-04-28,17,2023-04-28 20:04:00,Ernakulam,Urban Road,Clear,Dry,Day,Medium,Auto Rickshaw,21,Female,No,84,Not Applicable,Not Applicable,Weather Conditions,Minor,2,Minor Injury,14.0,2023,April,Friday,False,Afternoon,Young,Yes,No,No,Yes
Ker_Acc_100070,2023-05-08,14,2023-05-08 16:06:00,Thrissur,Urban Road,Rain,Wet,Day,Low,Bus,52,Female,No,46,Not Applicable,Yes,Overspeeding,Minor,2,Minor Injury,7.0,2023,May,Monday,False,Afternoon,Middle Age,No,No,No,Yes
Ker_Acc_100072,2025-02-13,5,2025-02-13 07:47:00,Kannur,Urban Road,Rain,Wet,Night,Low,Motorcycle,55,Male,No,36,Yes,Not Applicable,Weather Conditions,Serious,2,Minor Injury,36.0,2025,February,Thursday,False,Late Night,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100073,2023-12-23,13,2023-12-23 14:48:00,Thrissur,Highway,Clear,Muddy,Day,Low,Motorcycle,44,Female,No,109,Yes,Not Applicable,Distracted Driving,Minor,3,Major Injury,19.0,2023,December,Saturday,True,Afternoon,Middle Age,Yes,No,No,Yes
Ker_Acc_100074,2025-02-17,17,2025-02-17 19:03:00,Kasaragod,Junction,Clear,Dry,Day,High,Car,67,Male,No,43,Not Applicable,Not Applicable,Weather Conditions,Minor,1,Minor Injury,21.0,2025,February,Monday,False,Afternoon,Senior,No,Yes,No,No
Ker_Acc_100075,2024-07-09,14,2024-07-09 14:44:00,Kozhikode,Urban Road,Clear,Dry,Day,Medium,Motorcycle,58,Male,No,99,Yes,Not Applicable,Weather Conditions,Serious,1,Major Injury,11.0,2024,July,Tuesday,False,Afternoon,Middle Age,Yes,No,No,No
Ker_Acc_100076,2024-03-24,22,2024-03-24 23:07:00,Kottayam,Bridge,Fog,Dry,Night,High,Auto Rickshaw,37,Female,No,52,Not Applicable,Not Applicable,Drunk Driving,Minor,2,No Injury,22.0,2024,March,Sunday,True,Evening,Adult,No,Yes,Yes,Yes
Ker_Acc_100077,2023-08-19,3,2023-08-19 04:04:00,Kollam,Junction,Clear,Wet,Night,Low,Auto Rickshaw,50,Female,No,57,Not Applicable,Not Applicable,Overspeeding,Minor,1,Minor Injury,18.0,2023,August,Saturday,True,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100079,2025-03-02,13,2025-03-02 15:35:00,Kottayam,Rural Road,Clear,Wet,Day,High,Car,55,Female,No,62,Not Applicable,Yes,Weather Conditions,Minor,0,No Injury,20.0,2025,March,Sunday,True,Afternoon,Middle Age,No,No,No,No
Ker_Acc_100080,2024-05-10,11,2024-05-10 13:47:00,Palakkad,Urban Road,Clear,Wet,Dawn/Dusk,Medium,Auto Rickshaw,30,Female,No,60,Not Applicable,Not Applicable,Overspeeding,Minor,2,No Injury,12.0,2024,May,Friday,False,Morning,Adult,No,No,No,Yes
Ker_Acc_100031,2025-05-26,13,2025-05-26 14:28:00,Alappuzha,Highway,Rain,Muddy,Day,High,Auto Rickshaw,60,Male,No,108,Not Applicable,Not Applicable,Weather Conditions,Serious,3,Minor Injury,30.0,2025,May,Monday,False,Afternoon,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100031,2023-02-07,4,2023-02-07 07:08:00,Thrissur,Highway,Storm,Wet,Night,Medium,Auto Rickshaw,51,Male,No,96,Not Applicable,Not Applicable,Overspeeding,Serious,3,Major Injury,10.0,2023,February,Tuesday,False,Late Night,Middle Age,Yes,No,Yes,Yes
Ker_Acc_100083,2024-11-01,4,2024-11-01 06:09:00,Ernakulam,Bridge,Fog,Dry,Night,Medium,Truck,59,Female,Yes,76,Not Applicable,Yes,Weather Conditions,Serious,3,Minor Injury,20.0,2024,November,Friday,False,Late Night,Middle Age,No,No,Yes,Yes
Ker_Acc_100085,2023-04-11,20,2023-04-11 21:15:00,Ernakulam,Urban Road,Clear,Dry,Night,Low,Car,20,Female,No,33,Not Applicable,Yes,Drunk Driving,Minor,0,No Injury,6.0,2023,April,Tuesday,False,Evening,Young,No,No,Yes,No
Ker_Acc_100031,2024-08-20,4,2024-08-20 06:17:00,Thrissur,Urban Road,Clear,Dry,Night,Low,Motorcycle,69,Male,No,55,Yes,Not Applicable,Drunk Driving,Minor,1,Minor Injury,14.0,2024,August,Tuesday,False,Late Night,Senior,No,No,Yes,No
Ker_Acc_100088,2024-03-28,11,2024-03-28 12:58:00,Kollam,Highway,Clear,Dry,Dawn/Dusk,High,Motorcycle,37,Male,No,100,Yes,Not Applicable,Mechanical Failure,Minor,1,Minor Injury,17.0,2024,March,Thursday,False,Morning,Adult,Yes,No,No,No
Ker_Acc_100089,2024-01-26,18,2024-01-26 20:54:00,Alappuzha,Highway,Rain,Muddy,Day,Medium,Motorcycle,35,Male,Yes,95,Not Applicable,Not Applicable,Mechanical Failure,Serious,2,Major Injury,37.0,2024,January,Friday,False,Evening,Adult,Yes,Yes,Yes,Yes
Ker_Acc_100090,2025-02-02,15,2025-02-02 17:11:00,Malappuram,Highway,Fog,Dry,Day,Medium,Auto Rickshaw,32,Female,No,103,Not Applicable,Not Applicable,Weather Conditions,Minor,1,Minor Injury,24.0,2025,February,Sunday,True,Afternoon,Adult,Yes,Yes,No,No
Ker_Acc_100091,2025-02-12,23,2025-02-13 02:42:00,Kozhikode,Highway,Rain,Wet,Night,Medium,Car,58,Male,No,114,Not Applicable,Yes,Mechanical Failure,Fatal,3,Fatal Injury,39.0,2025,February,Wednesday,False,Evening,Middle Age,Yes,Yes,Yes,Yes
Ker_Acc_100092,2024-01-09,23,2024-01-09 23:36:00,Malappuram,Urban Road,Clear,Dry,Night,Medium,Car,30,Female,No,67,Not Applicable,Yes,Mechanical Failure,Minor,2,Minor Injury,22.0,2024,January,Tuesday,False,Evening,Adult,No,Yes,Yes,Yes
Ker_Acc_100093,2024-05-28,8,2024-05-28 09:40:00,Palakkad,Highway,Rain,Wet,Day,Medium,Bus,65,Male,No,91,Not Applicable,No,Mechanical Failure,Serious,1,Major Injury,35.0,2024,May,Tuesday,False,Morning,Senior,Yes,Yes,No,No
Ker_Acc_100094,2025-02-11,7,2025-02-11 10:53:00,Pathanamthitta,Rural Road,Rain,Wet,Day,Medium,Car,23,Male,No,97,Not Applicable,Yes,Distracted Driving,Serious,3,Major Injury,19.0,2025,February,Tuesday,False,Morning,Young,Yes,No,No,Yes
Ker_Acc_100095,2024-01-13,21,2024-01-14 00:44:00,Thrissur,Urban Road,Clear,Dry,Night,Low,Truck,24,Female,No,48,Not Applicable,No,Weather Conditions,Minor,2,Minor Injury,20.0,2024,January,Saturday,True,Evening,Young,No,No,Yes,Yes
Ker_Acc_100096,2023-08-15,20,2023-08-15 22:51:00,Malappuram,Junction,Clear,Dry,Night,Medium,Motorcycle,44,Female,Yes,44,Yes,Not Applicable,Weather Conditions,Serious,2,Minor Injury,11.0,2023,August,Tuesday,False,Evening,Middle Age,No,No,Yes,Yes
Ker_Acc_100097,2023-04-29,3,2023-04-29 05:37:00,Thrissur,Highway,Clear,Muddy,Night,High,Car,44,Male,No,86,Not Applicable,Yes,Distracted Driving,Minor,0,Minor Injury,9.0,2023,April,Saturday,True,Late Night,Middle Age,Yes,No,Yes,No
Ker_Acc_100098,2024-05-16,19,2024-05-16 20:42:00,Kasaragod,Highway,Clear,Dry,Night,High,Motorcycle,46,Female,No,71,No,Not Applicable,Weather Conditions,Minor,0,Minor Injury,16.0,2024,May,Thursday,False,Evening,Middle Age,No,No,Yes,No
Ker_Acc_100099,2024-10-22,11,2024-10-22 12:49:00,Palakkad,Junction,Rain,Muddy,Day,Low,Motorcycle,23,Male,No,26,Yes,Not Applicable,Overspeeding,Serious,3,Major Injury,30.0,2024,October,Tuesday,False,Morning,Young,No,Yes,No,Yes
Ker_Acc_100101,2025-03-03,4,2025-03-03 07:27:00,Idukki,Rural Road,Rain,Wet,Night,High,Motorcycle,52,Male,No,67,No,Not Applicable,Overspeeding,Serious,1,Major Injury,15.0,2025,March,Monday,False,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100102,2023-01-16,11,2023-01-16 12:55:00,Pathanamthitta,Highway,Clear,Dry,Day,Medium,Motorcycle,21,Male,No,112,Yes,Not Applicable,Weather Conditions,Serious,3,Major Injury,23.0,2023,January,Monday,False,Morning,Young,Yes,Yes,No,Yes
Ker_Acc_100103,2024-04-04,11,2024-04-04 14:08:00,Thrissur,Urban Road,Clear,Wet,Day,Medium,Motorcycle,20,Male,No,60,Yes,Not Applicable,Weather Conditions,Minor,2,Minor Injury,21.0,2024,April,Thursday,False,Morning,Young,No,Yes,No,Yes
Ker_Acc_100104,2024-05-05,12,2024-05-05 15:27:00,Thiruvananthapuram,Urban Road,Clear,Wet,Day,Medium,Car,23,Female,No,78,Not Applicable,No,Drunk Driving,Serious,2,Major Injury,14.0,2024,May,Sunday,True,Afternoon,Young,No,No,No,Yes
Ker_Acc_100106,2024-11-01,20,2024-11-01 23:22:00,Kasaragod,Rural Road,Rain,Muddy,Night,Medium,Car,32,Female,No,41,Not Applicable,Yes,Weather Conditions,Serious,3,Minor Injury,36.0,2024,November,Friday,False,Evening,Adult,No,Yes,Yes,Yes
Ker_Acc_100108,2025-01-26,11,2025-01-26 12:29:00,Wayanad,Rural Road,Clear,Dry,Day,Low,Car,39,Female,No,68,Not Applicable,Yes,Mechanical Failure,Minor,0,Minor Injury,18.0,2025,January,Sunday,True,Morning,Adult,No,No,No,No
